DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
22-11-2021,3240,3306.95,3216.45,3263.45,67355,6082
18-11-2021,3254,3260,3213.75,3226.55,44813,4030
17-11-2021,3153,3239,3153,3229.8,138845,13219
16-11-2021,3167,3209.4,3120.15,3152.05,30998,3086
15-11-2021,3126,3179.95,3126,3167.9,59064,7088
12-11-2021,3080,3130,3076.05,3122.9,43214,5495
11-11-2021,3107.1,3107.1,3052.55,3064.7,53846,8777
10-11-2021,3137,3137.85,3081,3108.4,23080,2562
09-11-2021,3139,3154.45,3121.6,3144.3,43860,5500
08-11-2021,3190,3192,3096,3138.4,26082,2882
04-11-2021,3196,3196,3146.65,3158.8,9058,1838
03-11-2021,3109.7,3181.95,3095,3162.95,69765,7264
02-11-2021,3121.75,3138.3,3081,3105.85,19440,2200
01-11-2021,3145,3145,3092.75,3121.75,20131,2120
29-10-2021,3120,3146.5,3083.8,3100.1,80160,11625
28-10-2021,3109,3146.65,3063.15,3118.75,60165,5328
27-10-2021,3022.45,3145.6,3022.45,3094.2,168704,14633
26-10-2021,2918,3025,2899,2963.15,118179,19437
25-10-2021,2941.1,2949.45,2855.6,2918.9,208516,28537
22-10-2021,2980,3002,2912.1,2984.65,193344,31734
21-10-2021,3189.95,3197.4,2922,3003.5,228318,22448
20-10-2021,3185,3220,3136.4,3168.65,427646,12492
19-10-2021,3255,3269.1,3177,3184.05,78920,13622
18-10-2021,3290,3290,3235,3242.2,59796,6711
14-10-2021,3349,3349,3290,3296.9,24999,2955
13-10-2021,3349.85,3357.05,3292,3321.75,30395,2887
12-10-2021,3296.6,3334.75,3288,3322.75,16068,2062
11-10-2021,3348,3348,3297.5,3304.3,424869,2687
08-10-2021,3293.05,3330.15,3265,3306.6,24215,2871
07-10-2021,3216,3317.9,3216,3287.9,42813,3459
06-10-2021,3273.9,3277.7,3200.7,3210.2,85103,9945
05-10-2021,3217,3259.9,3195.95,3255,26207,2682
04-10-2021,3205,3230,3173.7,3201.3,63050,9878
01-10-2021,3244,3251.5,3170,3178.8,69868,6346
30-09-2021,3339,3346.25,3220.4,3244.4,159504,7595
29-09-2021,3356,3380.45,3310,3322,161665,9081
