DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
22-11-2021,743,756,733.25,742.05,793877,17874
18-11-2021,724.8,724.8,708.5,714.2,111004,4243
17-11-2021,730.3,732.2,716.5,719.85,126793,3130
16-11-2021,742.7,742.7,726.85,730,176446,6344
15-11-2021,741,746,736.5,737.6,135387,3192
12/11/2021,732,744.95,730,743.3,377058,10888
11/11/2021,735.7,738.55,724.5,728.6,279354,11965
10/11/2021,718.4,738,707.45,735.7,402032,9709
9/11/2021,712,716.35,705.3,713.15,213993,6031
8/11/2021,705.55,714.8,704,709,247719,7175
4/11/2021,705.9,705.9,699.5,701.1,38935,1820
3/11/2021,726.7,732.5,696,699,479787,10501
2/11/2021,715,722.9,707.55,712.9,222200,5331
1/11/2021,689,722.7,689,712.3,753426,18276
29-10-2021,692,700.75,677.6,686.25,196379,6296
28-10-2021,702.55,706,685,688.8,279799,9000
27-10-2021,701,714.6,694.5,702.55,244716,5403
26-10-2021,698.8,709.75,689,696.15,254003,6249
25-10-2021,697,703.75,675.3,690.75,260455,6548
22-10-2021,696,705.1,684.55,694.45,355473,17921
21-10-2021,711.45,712.8,689.3,696.4,675724,4775
20-10-2021,681.1,713.8,681.1,708.45,3399664,13260
19-10-2021,698.85,698.85,675.6,681,200508,4961
18-10-2021,698,700.6,679.35,680.45,247950,9579
14-10-2021,690.15,693.8,682,686.15,222359,7765
13-10-2021,690.2,696.5,684,690.15,253836,7445
12/10/2021,691.3,698.4,684.5,686.5,145088,3297
11/10/2021,695,696.05,685.2,690.8,2666344,7315
8/10/2021,696.8,699.25,689,695.4,235018,7050
7/10/2021,698,702.2,691.2,692.55,275795,7028
6/10/2021,706.9,707.95,688.25,691.4,415547,9453
5/10/2021,682.15,703.35,680.65,699.25,4807686,7997
4/10/2021,695,695,670,681.1,401411,4385
1/10/2021,688.5,688.5,667.9,672.9,627450,7972
30-09-2021,696.4,709.85,686.7,688.15,368378,6629
29-09-2021,699,702,689.45,693.95,1518611,10089
28-09-2021,723.1,726.95,686.05,696.25,835171,26928
27-09-2021,732,732,718.2,722.85,285330,7103
24-09-2021,714.64,738.79,714.59,725.58,1239546,12390
23-09-2021,718.07,726.37,710.07,712.82,2784701,9942
22-09-2021,715.28,718.66,710.91,713.36,305045,6389
21-09-2021,710.57,726.91,708.46,713.36,321587,5720
20-09-2021,711.15,720.14,706.74,711.4,1603191,10497
17-09-2021,707.03,721.22,707.03,714.74,741034,7027
16-09-2021,730.2,730.2,701.98,704.92,3586394,22152
15-09-2021,683.23,721.41,683.23,712.19,1064330,18611
14-09-2021,683.13,686.81,676.41,681.31,452404,11805
13-09-2021,679.25,684.26,673.36,682.79,734595,14601
9/9/2021,655.7,675.57,655.7,673.66,474985,7963
8/9/2021,667.18,671.4,652.75,655.5,773056,19760
7/9/2021,643.82,668.11,636.06,658.35,1269253,18233
6/9/2021,650.89,653.39,641.41,642.44,240790,5860
3/9/2021,657.07,657.07,642.1,646.17,209317,4214
2/9/2021,658.35,661.34,651.92,653.83,353647,8647
1/9/2021,656.58,660.6,641.9,653.93,911487,14963
31-08-2021,618.2,655.65,613.98,651.47,1784501,27264
30-08-2021,586.74,613.39,580.21,608.92,1075093,22628
27-08-2021,576.19,594.2,574.42,583.01,418740,6749
26-08-2021,599.5,599.65,572.95,576.04,807251,20191
25-08-2021,612.51,612.51,599.84,601.17,225941,3672
24-08-2021,616.38,616.38,605.93,608.43,156632,3240
23-08-2021,608.48,618.79,596.56,611.08,306840,5213
20-08-2021,611.52,621.29,596.02,601.66,295129,5860
18-08-2021,614.96,622.32,609.56,611.28,171277,3403
17-08-2021,622.08,626.2,611.82,614.76,229744,4432
16-08-2021,628.11,632.14,620.06,622.08,434402,10307
13-08-2021,611.77,626.84,606.76,625.32,1077201,18545
12/8/2021,613.49,617.56,605.68,611.77,297720,7045
11/8/2021,610.05,617.32,602.3,609.32,691876,15907
10/8/2021,588.95,616.38,587.77,610.79,1943788,37734
9/8/2021,599.75,601.51,586.35,588.21,324401,6567
6/8/2021,585.02,605.49,577.17,596.6,1348630,26502
5/8/2021,568.04,607.79,567.5,587.87,2854276,45523
4/8/2021,566.37,575.65,559.5,563.62,1489824,20819
3/8/2021,558.37,571.28,551.8,569.51,623470,11085
2/8/2021,554.64,559.5,549.34,554.64,587212,11257
30-07-2021,558.22,558.22,547.62,551.55,353914,5681
29-07-2021,563.43,565.59,554.69,556.46,438250,8441
28-07-2021,533.78,559.99,528.34,557.44,1158669,20129
27-07-2021,534.22,535.6,526.37,530.49,89046,2230
26-07-2021,535.84,543.4,532.26,533.88,354895,9467
23-07-2021,538.89,550.18,523.03,538.45,1293006,18981
22-07-2021,519.45,537.91,514.1,536.43,1034399,16184
20-07-2021,526.52,526.52,513.46,516.16,471667,6802
19-07-2021,529.56,534.72,519.55,528.38,1626642,9080
16-07-2021,516.46,533.24,515.97,531.03,1164767,25423
15-07-2021,523.67,523.67,515.33,515.87,261038,6019
14-07-2021,520.24,521.56,517.1,520.24,636639,12075
13-07-2021,522.69,525.64,518.52,520.58,269188,5257
12/7/2021,530.05,530.05,518.77,519.89,1569647,8095
9/7/2021,516.8,527.45,513.22,526.08,216626,3469
8/7/2021,521.22,522.84,513.91,515.53,1706255,11033
7/7/2021,515.33,520.78,514.1,519.84,464451,5708
6/7/2021,514.35,518.08,511.45,516.26,354268,7302
5/7/2021,516.36,519.11,513.76,514.25,736213,17123
2/7/2021,517.29,523.08,510.32,515.18,1088569,23524
1/7/2021,517.34,521.17,512.38,513.22,203136,4312
30-06-2021,518.27,520.58,514.69,515.38,147631,3388
29-06-2021,521.42,522.45,514.35,515.18,226597,4366
28-06-2021,527.45,527.45,520.92,521.37,233795,3932
25-06-2021,520.43,525.93,519.8,525.15,455131,7616
24-06-2021,524.75,525.59,517.78,519.06,754355,17608
23-06-2021,528.09,529.27,522.89,524.26,921483,8493
22-06-2021,538.3,551.7,525.59,526.76,702507,9045
21-06-2021,521.71,531.82,521.71,529.56,785874,11935
18-06-2021,520.29,532.02,509.15,528.97,779704,18214
17-06-2021,528.34,531.33,517.54,518.96,279112,4463
16-06-2021,532.02,533.49,525.15,526.57,669123,10608
15-06-2021,534.76,534.76,528.43,532.61,926932,5442
14-06-2021,530.94,530.94,519.45,529.27,598572,13623
11/6/2021,538.89,539.72,530.1,530.94,134930,3177
10/6/2021,533.29,537.51,530.05,535.01,584922,10517
9/6/2021,539.87,541.83,525.34,530.84,1328191,18217
8/6/2021,530,537.91,524.02,536.73,928026,18798
7/6/2021,524.16,531.03,523.03,526.67,763133,14739
4/6/2021,524.95,525.88,521.46,522.89,661985,12196
3/6/2021,522.05,523.53,518.96,522.3,735782,15452
2/6/2021,520.34,524.65,518.27,519.84,494007,11723
1/6/2021,528.09,528.09,520.38,523.08,501024,12404
31-05-2021,516.11,525.93,515.72,525.1,927325,19141
28-05-2021,510.42,518.77,510.42,514,567586,13541
27-05-2021,516.31,517.29,509.15,510.37,489855,17858
26-05-2021,520.24,521.02,515.18,516.11,173882,3789
25-05-2021,520.24,520.92,514.94,516.41,224727,4009
24-05-2021,522.69,523.38,516.36,517.05,192033,4158
21-05-2021,512.38,523.23,512.38,521.12,737173,14242
20-05-2021,518.62,520.97,510.52,511.11,710135,22216
19-05-2021,529.96,530.89,516.8,518.57,524761,8901
18-05-2021,537.42,542.67,524.8,526.42,1194210,19461
17-05-2021,557.44,557.44,535.94,539.43,613503,12404
14-05-2021,553.61,558.72,545.95,550.22,347589,8115
12/5/2021,557.54,558.72,548.11,551.45,136138,2483
11/5/2021,556.36,563.67,553.61,557.73,355027,7019
10/5/2021,562.35,566.18,558.52,562.15,555068,10994
7/5/2021,548.41,562.15,546.74,558.03,284236,5130
6/5/2021,551.55,553.86,542.42,548.07,239743,4237
5/5/2021,548.7,554.59,543.4,549.59,795012,5464
4/5/2021,554.59,557.34,536.68,541.93,416848,6065
3/5/2021,522.2,551.65,519.3,548.41,1010101,23084
30-04-2021,525.64,536.83,523.53,527.4,437898,8449
29-04-2021,537.12,539.82,529.22,531.43,237453,3279
28-04-2021,526.13,537.86,526.13,534.27,634840,12562
27-04-2021,518.27,528.48,517.24,524.61,211144,3436
