DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
17-11-2021,1165.5,1165.5,1150,1153.4,41536,2540
16-11-2021,1170.1,1175.35,1160.75,1162.9,144446,7980
15-11-2021,1172.9,1181.55,1163.95,1171.1,98486,6474
12/11/2021,1169.9,1178.35,1162,1172.75,202349,6200
11/11/2021,1169,1169,1152.1,1161.3,93222,8036
10/11/2021,1168.5,1174.9,1162.65,1170.55,174964,7427
9/11/2021,1193,1193,1170.1,1174.2,258930,10077
8/11/2021,1185,1192.6,1169,1182.8,107666,8526
4/11/2021,1189.9,1189.9,1178.85,1183.15,26061,3767
3/11/2021,1178,1187.35,1171.35,1176.55,131256,7522
2/11/2021,1195,1195,1168.85,1171.4,81734,3446
1/11/2021,1149,1191.5,1144,1189.1,181681,9720
29-10-2021,1153.65,1172.95,1138.35,1144.35,227280,13708
28-10-2021,1177.35,1185.7,1147,1153.65,196945,7375
27-10-2021,1175,1181.15,1161.65,1176.8,317645,11842
26-10-2021,1164,1182,1153.7,1167.1,288781,15434
25-10-2021,1192,1192,1157.5,1165.95,290972,18340
22-10-2021,1206.3,1222.75,1186,1194.15,344684,18050
21-10-2021,1236.5,1237.3,1189.1,1211.75,208970,8487
20-10-2021,1242.9,1263.05,1221,1232.35,1259886,10895
19-10-2021,1232,1252.85,1225.75,1231.85,192834,7550
18-10-2021,1250.9,1272,1215.35,1221.35,621599,24466
14-10-2021,1288,1293,1244.35,1250.9,473122,27010
13-10-2021,1265,1272.45,1244,1265.7,148932,6746
12/10/2021,1310,1310,1236.95,1249.7,439442,23510
11/10/2021,1309.1,1324.9,1236.55,1302.25,1176071,10606
8/10/2021,1305,1338,1294.5,1322.05,189599,10545
7/10/2021,1285.95,1317.2,1284,1306.25,238013,12766
6/10/2021,1311,1320,1272,1275.7,129616,6489
5/10/2021,1277.9,1312.75,1262.2,1305.1,211236,11877
4/10/2021,1284.7,1293.45,1274.2,1278.7,62631,3505
1/10/2021,1272,1283.75,1260.55,1273.4,84526,4390
30-09-2021,1293,1293,1269.75,1279,88252,4526
29-09-2021,1267.15,1301,1259.15,1281,228373,13744
28-09-2021,1301,1306.75,1254.3,1269.2,350127,25463
27-09-2021,1374.45,1374.45,1290.1,1295.5,229491,16021
24-09-2021,1336,1377,1336,1357.65,140037,7237
23-09-2021,1327.95,1336,1313.85,1327.95,1175686,8296
22-09-2021,1300,1328.2,1299.5,1315.8,206357,5613
21-09-2021,1287.15,1315.1,1276.6,1299,153129,6944
20-09-2021,1257,1298.25,1251,1275.35,209720,11889
17-09-2021,1265.1,1280.4,1258.6,1264.25,94489,4805
16-09-2021,1295.65,1295.65,1255,1262.6,148035,9693
15-09-2021,1240,1288.7,1230.4,1273.75,206706,8626
14-09-2021,1215,1240,1207.6,1238.3,163091,7103
13-09-2021,1190,1214.9,1176.7,1207.6,144899,7810
9/9/2021,1191.15,1204.85,1182.8,1198.7,63591,3622
8/9/2021,1182.6,1191,1166.95,1188.6,118959,6412
7/9/2021,1210,1213.05,1180.5,1182.4,87874,5900
6/9/2021,1177,1209,1174.1,1199.7,105902,5454
3/9/2021,1175,1180.2,1158.7,1174.25,206332,9992
2/9/2021,1170,1181.8,1153.95,1173.15,89137,3990
1/9/2021,1191,1192,1162.35,1164.65,65432,4530
31-08-2021,1172,1193.15,1161.9,1181.45,411722,7074
30-08-2021,1164,1169.95,1155,1163,94391,4966
27-08-2021,1162.1,1170,1159.45,1162.7,87315,5414
26-08-2021,1155,1172,1155,1167.55,134720,7233
25-08-2021,1161.45,1169.8,1140.5,1154.55,126998,5299
24-08-2021,1166.3,1173,1150,1152.2,148527,6605
23-08-2021,1126.1,1178.05,1126.1,1162.9,384906,14962
20-08-2021,1104,1140.2,1104,1117.15,84238,5255
18-08-2021,1158.9,1158.9,1131,1133.85,165786,6698
17-08-2021,1121,1151.65,1112.65,1141.25,268337,7855
16-08-2021,1119.7,1129.15,1113.75,1123,177254,9449
13-08-2021,1100,1123.9,1090.7,1119.7,4473309,18883
12/8/2021,1070,1101,1068,1097.05,578315,15522
11/8/2021,1070.95,1078.85,1057,1066.95,276932,12742
10/8/2021,1051,1071.9,1048.5,1063.75,194537,9464
9/8/2021,1056,1066.65,1043.95,1050.7,209560,10401
6/8/2021,1061,1069.9,1043.1,1050.35,95588,4544
5/8/2021,1040.1,1072.6,1033.35,1060.8,527709,24695
4/8/2021,1040,1047.75,1034.65,1040.75,241782,7600
