DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
22-11-2021,19400,19500,18850,19005.7,1085,641
18-11-2021,19158,19470.7,19158,19400.2,767,500
17-11-2021,19403.55,19560,19371.2,19462.25,1126,723
16-11-2021,19352.05,19588.75,19331.7,19463.15,998,506
15-11-2021,19210.8,19498.9,19089.05,19425.35,3297,1077
12/11/2021,18817.35,19250,18817.35,19134.6,2551,1325
11/11/2021,18949,18949,18674.05,18880.65,1698,962
10/11/2021,18940.05,19030.75,18803.4,18954.4,808,475
9/11/2021,19070,19070,18800.05,18914.55,1811,1024
8/11/2021,18970,19085.55,18678.05,19050.3,2052,1249
4/11/2021,18914.5,18947.55,18850,18895.95,381,261
3/11/2021,18890,18890,18569,18727.25,1557,760
2/11/2021,18870,19025.8,18708.55,18773.8,1953,1008
1/11/2021,19100,19100,18741.55,18957.25,1325,852
29-10-2021,19089.95,19107.05,18762.8,19002,2057,1352
28-10-2021,19076.9,19100,18861.45,18997.35,767,517
27-10-2021,19218,19415,18911.45,19004.15,1628,840
26-10-2021,18799,19273.8,18637.7,19214.1,2139,1138
25-10-2021,18950,19009.95,18611,18692,3363,1771
22-10-2021,19445,19445,18850,19009.95,2928,1568
21-10-2021,19549,19549,19060.15,19247.15,1369,834
20-10-2021,19499,20200,19054.45,19273.7,42939,5278
19-10-2021,19544.7,19733.5,19285.4,19377.5,2424,1269
18-10-2021,19501.05,19599.95,19211,19427.25,2166,946
14-10-2021,19500,19500,19227.3,19320.15,1134,665
13-10-2021,19480,19480,19220.65,19318.8,8066,1008
12/10/2021,19099,19440.4,18990.5,19414.65,11039,1570
11/10/2021,18999,19197.85,18999,19072.85,34097,1220
8/10/2021,18998,19160.7,18945,18996.05,2721,1433
7/10/2021,19201,19298.5,18998,19049.6,2046,1192
6/10/2021,19399.85,19619.8,19080.15,19171.95,2508,1227
5/10/2021,19661.65,19661.65,19350,19399.85,755,442
4/10/2021,19549.9,19645.1,19398.8,19494.55,1782,899
1/10/2021,19475,19640.45,19244.85,19553.5,1601,892
30-09-2021,19618.9,19618.9,19320.35,19450.75,836,513
29-09-2021,19480,19704.35,19424.15,19472.4,4908,1270
28-09-2021,19697,19714.2,19480,19555,2073,1114
27-09-2021,19850,19899.5,19620,19656.7,3141,1591
24-09-2021,19855,19979.85,19790.8,19892,2694,915
23-09-2021,20128.9,20128.9,19815,19841.7,33471,871
22-09-2021,20153,20153,19850.35,19929.8,5499,1500
21-09-2021,20350,20350,20025,20152,888,512
20-09-2021,20199,20389.9,20110.05,20312.05,2192,1220
17-09-2021,20240,20287.35,20097.8,20179.45,2696,1142
16-09-2021,20259.35,20259.35,19975.85,20043.85,1697,829
15-09-2021,20400,20400,20090,20118.2,1239,793
14-09-2021,20452,20599.95,20178.85,20232.2,1347,629
13-09-2021,20400,20500.25,20243.8,20434.6,1203,496
9/9/2021,19940,20527.1,19850,20439.45,8650,2927
8/9/2021,20370,20517.9,19783.6,19876.65,4485,2205
7/9/2021,20250,20397.3,20217.7,20373.25,1531,740
6/9/2021,20265,20346.85,20169.55,20209.45,1250,595
3/9/2021,20255,20333.3,20102.55,20260.15,1811,1055
2/9/2021,19801.05,20284.75,19774.4,20242.3,3305,1581
1/9/2021,19797.95,19883.45,19581,19832.6,2275,913
31-08-2021,19800,19831,19352.2,19458.1,4899,2254
30-08-2021,20000,20092.4,19701,19763.6,1880,982
27-08-2021,20149.95,20149.95,19915.35,19953.95,832,404
26-08-2021,19999,20112.85,19816.15,20046.8,1740,753
25-08-2021,19810,20333.8,19810,19907.4,4279,1850
24-08-2021,20080,20144.1,19666.5,19785.2,3061,1295
23-08-2021,19700,20083.75,19556,20016.5,4153,2187
20-08-2021,18690,19632.25,18598.75,19552.8,4132,1791
18-08-2021,18730,18958.15,18730,18910,1298,548
17-08-2021,18300,18790,18300,18729.95,3796,1715
16-08-2021,18250,18488,18216.35,18297,1161,594
13-08-2021,18136.55,18280.65,18136.55,18268.3,1408,719
12/8/2021,18138.5,18235.2,18072.8,18136.55,923,433
11/8/2021,18250,18277,18025,18164.15,1190,685
10/8/2021,18311,18360,18088.7,18277.9,1016,496
9/8/2021,18150,18228,18021.9,18196.85,1477,836
6/8/2021,18280,18280,17988,18095.05,2551,739
5/8/2021,18180,18280.1,18000,18214.25,1366,647
4/8/2021,18320,18336.1,18010,18050.8,1965,1011
3/8/2021,17735,18409,17666.45,18287.8,2854,972
2/8/2021,17703.05,17900,17675.05,17709.05,1649,844
30-07-2021,17914,17932.7,17664.9,17702.75,1799,798
29-07-2021,17967,18155.9,17796.25,17909.9,2547,1352
28-07-2021,18338,18338,17900,18012.6,4804,1687
27-07-2021,18000.2,18446.55,17979.25,18238.45,2511,1237
26-07-2021,18000,18173.95,18000,18077.55,1257,646
23-07-2021,17999,18218,17890.9,18122.85,3224,1616
22-07-2021,17895,18026.4,17723.65,17995.2,2935,1094
20-07-2021,17799,17898.45,17710.1,17829.4,1428,641
19-07-2021,17575,17848.6,17575,17749.2,17252,881
16-07-2021,17698,17714.7,17549.65,17650.1,623,216
15-07-2021,17550,17650,17447.7,17618.8,1291,420
14-07-2021,17720,17720,17508.95,17535.55,884,440
13-07-2021,17650,17726.6,17625.2,17673.8,1549,693
12/7/2021,17631,17725,17574,17645.35,16969,989
9/7/2021,17620,17669,17557.75,17640.75,1630,688
8/7/2021,17600,17683.5,17545,17618.8,635,313
7/7/2021,17521.8,17776,17361.95,17714.8,3568,1691
6/7/2021,17601,17606.05,17425,17489.65,1643,685
5/7/2021,17684.95,17706,17531.3,17634.55,1282,704
2/7/2021,17641.6,17641.6,17497,17602.75,798,354
1/7/2021,17765,17765,17574.9,17641.6,1194,607
